time,EAST_perc,NORTH_perc,SOUTH_perc,WEST_perc,CENTRAL_perc
2017-04-01,0.391304347826087,0.2608695652173913,0.14381270903010032,0.1806020066889632,0.023411371237458192
2017-04-03,0.23809523809523808,0.38095238095238093,0.047619047619047616,0.2857142857142857,0.047619047619047616
2017-04-04,0.30434782608695654,0.2608695652173913,0.043478260869565216,0.34782608695652173,0.043478260869565216
2017-04-05,0.2777777777777778,0.08366013071895424,0.2647058823529412,0.36013071895424836,0.013725490196078431
2017-04-07,0.27069351230425054,0.07084265473527218,0.23415361670395227,0.40119313944817303,0.023117076808351976
2017-04-12,0.32697547683923706,0.07220708446866485,0.2608991825613079,0.32629427792915533,0.013623978201634877
2017-04-13,0.31343283582089554,0.08283582089552238,0.2664179104477612,0.32238805970149254,0.014925373134328358
2017-04-14,0.27518796992481204,0.09097744360902256,0.2548872180451128,0.3631578947368421,0.015789473684210527
2017-04-15,0.33537206931702346,0.0326197757390418,0.24974515800203873,0.3730886850152905,0.009174311926605505
2017-04-16,0.3765281173594132,0.26894865525672373,0.10513447432762836,0.2200488997555012,0.029339853300733496
2017-04-17,0.2976897689768977,0.07260726072607261,0.2706270627062706,0.3485148514851485,0.010561056105610561
2017-04-18,0.2926490984743412,0.05339805825242718,0.268377253814147,0.38210818307905686,0.0034674063800277394
2017-04-19,0.2984330484330484,0.07621082621082621,0.26353276353276356,0.3475783475783476,0.014245014245014245
2017-04-20,0.2548148148148148,0.08592592592592592,0.2644444444444444,0.38814814814814813,0.006666666666666667
2017-04-21,0.31798561151079136,0.08057553956834532,0.26762589928057556,0.31798561151079136,0.015827338129496403
2017-04-22,0.2490566037735849,0.017924528301886792,0.29339622641509433,0.42830188679245285,0.011320754716981131
2017-04-23,0.34210526315789475,0.16052631578947368,0.1763157894736842,0.2868421052631579,0.034210526315789476
2017-04-24,0.24969249692496925,0.07072570725707257,0.2644526445264453,0.4046740467404674,0.010455104551045511
2017-04-25,0.2806896551724138,0.06413793103448276,0.20896551724137932,0.4324137931034483,0.013793103448275862
2017-04-26,0.2729624838292367,0.0646830530401035,0.2335058214747736,0.41979301423027165,0.009055627425614488
2017-04-27,0.2409356725146199,0.049707602339181284,0.20526315789473684,0.49005847953216375,0.014035087719298246
2017-04-28,0.21172807472755578,0.07628437986507525,0.22418266735858847,0.478463933575506,0.00934094447327452
2017-04-29,0.2974169741697417,0.033210332103321034,0.27601476014760146,0.3808118081180812,0.012546125461254613
2017-04-30,0.28028430160692214,0.09734239802224968,0.24273794808405438,0.36248454882571074,0.01715080346106304
2017-05-01,0.2860054347826087,0.04619565217391304,0.2703804347826087,0.37839673913043476,0.019021739130434784
2017-05-02,0.40404040404040403,0.18686868686868688,0.2222222222222222,0.18181818181818182,0.005050505050505051
2017-05-03,0.40789473684210525,0.25,0.18421052631578946,0.14473684210526316,0.013157894736842105
2017-05-04,0.4,0.3393939393939394,0.07878787878787878,0.15757575757575756,0.024242424242424242
2017-05-05,0.28856328856328856,0.07610907610907611,0.245014245014245,0.3772893772893773,0.013024013024013023
2017-05-07,0.23708920187793428,0.06103286384976526,0.25586854460093894,0.431924882629108,0.014084507042253521
2017-05-08,0.0,0.0,1.0,0.0,0.0
2017-05-09,0.19607843137254902,0.11764705882352941,0.37254901960784315,0.3137254901960784,0.0
2017-05-10,0.27876106194690264,0.09039190897597978,0.24462705436156765,0.36788874841972186,0.018331226295828066
2017-05-11,0.27406886858749124,0.06886858749121574,0.25368938861560086,0.39142656359803235,0.011946591707659873
2017-05-12,0.279191128506197,0.07501630789302022,0.2563600782778865,0.3750815394651011,0.014350945857795172
2017-05-13,0.256,0.024888888888888887,0.2906666666666667,0.41333333333333333,0.015111111111111112
2017-05-14,0.3609467455621302,0.2485207100591716,0.15384615384615385,0.20118343195266272,0.03550295857988166
2017-05-15,0.28447778418926717,0.08482400461627236,0.241200230813618,0.37564916330063475,0.013848817080207732
2017-05-16,0.292,0.056666666666666664,0.23,0.41,0.011333333333333334
2017-05-17,0.3137254901960784,0.08700980392156862,0.22977941176470587,0.35110294117647056,0.01838235294117647
2017-05-18,0.2699346405228758,0.08888888888888889,0.21830065359477124,0.4065359477124183,0.016339869281045753
2017-05-19,0.2652284263959391,0.08248730964467005,0.2817258883248731,0.3629441624365482,0.007614213197969543
2017-05-20,0.26557377049180325,0.03442622950819672,0.2778688524590164,0.41065573770491803,0.011475409836065573
2017-05-21,0.3646288209606987,0.28602620087336245,0.12663755458515283,0.20305676855895197,0.019650655021834062
2017-05-22,0.30584192439862545,0.07789232531500573,0.2588774341351661,0.34936998854524626,0.008018327605956471
