time,1.0_perc,3.0_perc,5.0_perc,7.0_perc,8.0_perc,9.0_perc,10.0_perc,11.0_perc,13.0_perc,14.0_perc,15.0_perc,16.0_perc,17.0_perc,18.0_perc,19.0_perc,20.0_perc,21.0_perc,29.0_perc,34.0_perc,35.0_perc,36.0_perc,42.0_perc,43.0_perc,48.0_perc,61.0_perc,62.0_perc,63.0_perc,64.0_perc,65.0_perc,66.0_perc,67.0_perc,68.0_perc,69.0_perc,70.0_perc,72.0_perc,73.0_perc,74.0_perc,76.0_perc,77.0_perc,78.0_perc,79.0_perc,82.0_perc,84.0_perc,85.0_perc,100.0_perc,101.0_perc,103.0_perc,104.0_perc,105.0_perc,111.0_perc,117.0_perc,120.0_perc,121.0_perc,135.0_perc,136.0_perc,137.0_perc,147.0_perc,159.0_perc,165.0_perc,202.0_perc,207.0_perc,217.0_perc,248.0_perc,249.0_perc,250.0_perc,251.0_perc,254.0_perc,255.0_perc,257.0_perc,258.0_perc,259.0_perc,260.0_perc,261.0_perc,262.0_perc,263.0_perc,264.0_perc,265.0_perc,266.0_perc,267.0_perc,268.0_perc,269.0_perc,270.0_perc,271.0_perc
2017-04-01,0.13377926421404682,0.1939799331103679,0.033444816053511704,0.006688963210702341,0.043478260869565216,0.03678929765886288,0.0,0.030100334448160536,0.0033444816053511705,0.0,0.016722408026755852,0.0033444816053511705,0.0,0.0,0.056856187290969896,0.026755852842809364,0.0,0.0,0.013377926421404682,0.0,0.016722408026755852,0.006688963210702341,0.0,0.04013377926421405,0.0033444816053511705,0.006688963210702341,0.020066889632107024,0.0,0.04013377926421405,0.0,0.026755852842809364,0.0033444816053511705,0.0,0.0,0.010033444816053512,0.033444816053511704,0.0033444816053511705,0.0,0.0,0.0,0.03678929765886288,0.0,0.0,0.0,0.0,0.0,0.020066889632107024,0.013377926421404682,0.0,0.0,0.0,0.006688963210702341,0.0,0.056856187290969896,0.0033444816053511705,0.016722408026755852,0.023411371237458192,0.0,0.013377926421404682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-03,0.11904761904761904,0.30952380952380953,0.023809523809523808,0.0,0.0,0.023809523809523808,0.0,0.023809523809523808,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.16666666666666666,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904761904761904,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-04,0.17391304347826086,0.2608695652173913,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-05,0.0738562091503268,0.048366013071895426,0.0738562091503268,0.01241830065359477,0.006535947712418301,0.01437908496732026,0.030065359477124184,0.015032679738562092,0.00980392156862745,0.0,0.011111111111111112,0.05555555555555555,0.0058823529411764705,0.022222222222222223,0.04771241830065359,0.03071895424836601,0.0,0.004575163398692811,0.06862745098039216,0.0,0.024183006535947713,0.0196078431372549,0.0,0.03071895424836601,0.01895424836601307,0.00522875816993464,0.004575163398692811,0.009150326797385621,0.03529411764705882,0.0,0.05947712418300653,0.00522875816993464,0.0,0.00522875816993464,0.011111111111111112,0.00784313725490196,0.021568627450980392,0.0032679738562091504,0.006535947712418301,0.0058823529411764705,0.011764705882352941,0.00784313725490196,0.0,0.01895424836601307,0.0,0.0,0.01241830065359477,0.004575163398692811,0.004575163398692811,0.0,0.0,0.013725490196078431,0.0,0.05816993464052288,0.02875816993464052,0.01699346405228758,0.013725490196078431,0.0,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-07,0.05667412378821775,0.055182699478001494,0.07606263982102908,0.017897091722595078,0.020879940343027592,0.020134228187919462,0.02162565249813572,0.01640566741237882,0.007457121551081283,0.0,0.005965697240865026,0.01715137956748695,0.0037285607755406414,0.03281133482475764,0.054436987322893364,0.035794183445190156,0.0,0.007457121551081283,0.07979120059656973,0.0,0.035048471290082026,0.011185682326621925,0.0,0.019388516032811335,0.024608501118568233,0.0014914243102162564,0.01267710663683818,0.014914243102162566,0.02609992542878449,0.0,0.07680835197613721,0.0037285607755406414,0.0,0.00820283370618941,0.0022371364653243847,0.005965697240865026,0.017897091722595078,0.005219985085756898,0.007457121551081283,0.00820283370618941,0.013422818791946308,0.007457121551081283,0.0,0.006711409395973154,0.0,0.0,0.011185682326621925,0.007457121551081283,0.006711409395973154,0.0,0.0,0.009694258016405667,0.0,0.049217002237136466,0.026845637583892617,0.024608501118568233,0.023117076808351976,0.0,0.002982848620432513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-12,0.0837874659400545,0.0388283378746594,0.07084468664850137,0.02316076294277929,0.012942779291553134,0.0170299727520436,0.025204359673024524,0.015667574931880108,0.013623978201634877,0.0,0.005449591280653951,0.0497275204359673,0.008174386920980926,0.02316076294277929,0.04904632152588556,0.0340599455040872,0.0,0.007493188010899182,0.05994550408719346,0.0,0.04632152588555858,0.008855585831062671,0.0,0.02656675749318801,0.017711171662125342,0.007493188010899182,0.006130790190735695,0.01430517711171662,0.048365122615803814,0.0,0.04632152588555858,0.0006811989100817438,0.0,0.006811989100817439,0.011580381471389645,0.008855585831062671,0.012942779291553134,0.0027247956403269754,0.008174386920980926,0.010217983651226158,0.011580381471389645,0.006130790190735695,0.0,0.011580381471389645,0.0,0.0,0.012942779291553134,0.004768392370572207,0.004087193460490463,0.0,0.0,0.008855585831062671,0.0,0.055858310626702996,0.023841961852861037,0.019754768392370572,0.013623978201634877,0.0,0.004768392370572207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-13,0.06044776119402985,0.041791044776119404,0.0873134328358209,0.020149253731343283,0.017164179104477612,0.013432835820895522,0.023880597014925373,0.013432835820895522,0.014925373134328358,0.0,0.014925373134328358,0.04402985074626865,0.008955223880597015,0.020895522388059702,0.07388059701492537,0.029104477611940297,0.0,0.008955223880597015,0.05373134328358209,0.0,0.05447761194029851,0.006716417910447761,0.0,0.01791044776119403,0.017164179104477612,0.0037313432835820895,0.0052238805970149255,0.008955223880597015,0.056716417910447764,0.0,0.07238805970149254,0.0029850746268656717,0.0,0.008955223880597015,0.012686567164179104,0.009701492537313432,0.025373134328358207,0.005970149253731343,0.005970149253731343,0.014179104477611941,0.006716417910447761,0.0052238805970149255,0.0,0.014925373134328358,0.0,0.0,0.009701492537313432,0.0037313432835820895,0.0007462686567164179,0.0,0.0,0.016417910447761194,0.0,0.010447761194029851,0.03507462686567164,0.0007462686567164179,0.014925373134328358,0.0,0.0052238805970149255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-14,0.08796992481203007,0.055639097744360905,0.07894736842105263,0.022556390977443608,0.02706766917293233,0.027819548872180452,0.02857142857142857,0.009774436090225564,0.015037593984962405,0.0,0.009022556390977444,0.05112781954887218,0.007518796992481203,0.009022556390977444,0.045112781954887216,0.015037593984962405,0.0,0.006766917293233083,0.05338345864661654,0.0,0.012781954887218045,0.013533834586466165,0.0,0.022556390977443608,0.012781954887218045,0.005263157894736842,0.015037593984962405,0.005263157894736842,0.004511278195488722,0.0,0.0774436090225564,0.002255639097744361,0.0,0.006015037593984963,0.009022556390977444,0.012030075187969926,0.02406015037593985,0.008270676691729323,0.006015037593984963,0.006015037593984963,0.014285714285714285,0.0,0.0,0.011278195488721804,0.0,0.0,0.009022556390977444,0.009022556390977444,0.0030075187969924814,0.0,0.0,0.009022556390977444,0.0,0.08270676691729323,0.02706766917293233,0.02406015037593985,0.015789473684210527,0.0,0.0015037593984962407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-15,0.12945973496432212,0.017329255861365953,0.08766564729867482,0.02854230377166157,0.03873598369011213,0.01834862385321101,0.045871559633027525,0.007135575942915392,0.011213047910295617,0.0,0.0061162079510703364,0.0509683995922528,0.0061162079510703364,0.010193679918450561,0.06422018348623854,0.0061162079510703364,0.0,0.014271151885830785,0.047910295616717634,0.0,0.010193679918450561,0.0254841997961264,0.0,0.021406727828746176,0.023445463812436288,0.0010193679918450561,0.009174311926605505,0.009174311926605505,0.0,0.0,0.02854230377166157,0.0061162079510703364,0.0,0.010193679918450561,0.00815494393476045,0.0,0.02854230377166157,0.004077471967380225,0.0020387359836901123,0.012232415902140673,0.004077471967380225,0.0050968399592252805,0.0,0.011213047910295617,0.0,0.0,0.010193679918450561,0.004077471967380225,0.0061162079510703364,0.0,0.0,0.0010193679918450561,0.0,0.09276248725790011,0.034658511722731905,0.029561671763506627,0.009174311926605505,0.0,0.0020387359836901123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-16,0.10268948655256724,0.20537897310513448,0.02444987775061125,0.007334963325183374,0.05378973105134474,0.05378973105134474,0.009779951100244499,0.0488997555012225,0.0,0.0,0.02444987775061125,0.0024449877750611247,0.0,0.007334963325183374,0.07334963325183375,0.017114914425427872,0.0,0.009779951100244499,0.017114914425427872,0.0,0.017114914425427872,0.014669926650366748,0.0,0.02444987775061125,0.004889975550122249,0.004889975550122249,0.022004889975550123,0.0,0.009779951100244499,0.0,0.02689486552567237,0.0,0.0,0.0,0.0,0.034229828850855744,0.014669926650366748,0.0,0.0024449877750611247,0.0,0.029339853300733496,0.0,0.0,0.0024449877750611247,0.0,0.0,0.012224938875305624,0.0024449877750611247,0.0,0.0,0.0,0.004889975550122249,0.0,0.05134474327628362,0.012224938875305624,0.017114914425427872,0.029339853300733496,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
