time,ASSAM_perc,BIHAR_perc,CHHATTISGARH_perc,GUJARAT_perc,HARYANA_perc,JHARKHAND_perc,KERALA_perc,KARNATAKA_perc,MAHARASHTRA_perc,MADHYA PRADESH_perc,ORISSA_perc,PUNJAB_perc,TAMIL NADU_perc,TRIPURA_perc,UTTAR PRADESH_perc,WEST BENGAL_perc
2017-04-01,0.0,0.0,0.0379041248606466,0.0,0.0,0.0,0.02564102564102564,0.18394648829431437,0.0,0.04013377926421405,0.12374581939799331,0.0,0.5105908584169454,0.0,0.030100334448160536,0.04793756967670011
2017-04-02,0.0,0.0,0.06115702479338843,0.008264462809917356,0.0,0.0,0.009917355371900827,0.14710743801652892,0.0,0.0,0.24462809917355371,0.0,0.30082644628099175,0.0,0.03636363636363636,0.19173553719008266
2017-04-03,0.0,0.0,0.022321428571428572,0.004464285714285714,0.0,0.0,0.07539682539682539,0.10069444444444445,0.0,0.013888888888888888,0.11557539682539683,0.0,0.5758928571428571,0.0,0.003472222222222222,0.0882936507936508
2017-04-04,0.0,0.0,0.04855233853006682,0.0031180400890868597,0.0,0.0,0.06503340757238307,0.17728285077951003,0.0,0.0378619153674833,0.12293986636971047,0.0,0.39242761692650335,0.0,0.008908685968819599,0.14387527839643652
2017-04-05,0.0,0.0,0.0401656314699793,0.018219461697722567,0.0,0.0,0.07163561076604555,0.10351966873706005,0.0,0.0,0.09399585921325052,0.0,0.4728778467908903,0.0,0.016149068322981366,0.18343685300207038
2017-04-06,0.0,0.0,0.020596889449348465,0.015552753257671291,0.0,0.0,0.02564102564102564,0.1340899537620849,0.0,0.021437578814627996,0.13829340058848255,0.0,0.4123581336696091,0.0,0.016813787305590584,0.21521647751155948
2017-04-07,0.0,0.0,0.046242774566473986,0.014673188083592708,0.0,0.0,0.06269453090262339,0.15073365940417963,0.0,0.04713205869275233,0.10449088483770565,0.0,0.3895064473099155,0.0,0.013783903957314362,0.1707425522454424
2017-04-08,0.0,0.0,0.03569873748367436,0.01828471919895516,0.0,0.0,0.03744013931214628,0.15585546364823682,0.0,0.02220287331301698,0.13670004353504572,0.0,0.29865041358293426,0.0,0.02046147148454506,0.27470613844144537
2017-04-09,0.0,0.0,0.03902439024390244,0.007665505226480836,0.0,0.0,0.05156794425087108,0.1059233449477352,0.0,0.024390243902439025,0.2731707317073171,0.0,0.1735191637630662,0.0,0.005574912891986063,0.3191637630662021
2017-04-10,0.0,0.0,0.034112444725205304,0.004737839545167404,0.0,0.0,0.08780795957043588,0.11907770056854075,0.0,0.02337334175615919,0.2419456727732154,0.0,0.23562855337965888,0.0,0.03885028427037271,0.21446620341124448
2017-04-11,0.0,0.0,0.013099663657284474,0.010975393875022128,0.0,0.0,0.0729332625243406,0.10585944414940697,0.0,0.01929545052221632,0.2694282173836077,0.0,0.2851832182687201,0.0,0.03593556381660471,0.18728978580279695
