ytrue,y,sint,lint,cpi,Open,High,Low,Close,sensex_missing,ASSAM_perc,BIHAR_perc,CHHATTISGARH_perc,GUJARAT_perc,HARYANA_perc,JHARKHAND_perc,KERALA_perc,KARNATAKA_perc,MAHARASHTRA_perc,MADHYA PRADESH_perc,ORISSA_perc,PUNJAB_perc,TAMIL NADU_perc,TRIPURA_perc,UTTAR PRADESH_perc,WEST BENGAL_perc,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,f_absolute,f_angle,vae_feat0,vae_feat1
897.0,719.3333333333359,6.240000000000002,6.792499999999998,1.8587360000000002,27211.403875943695,27323.04094284952,27103.47591596964,27197.746114268535,0.3225806451612903,0.0,0.0,0.0379041248606466,0.0,0.0,0.0,0.02564102564102564,0.1839464882943144,0.0,0.04013377926421405,0.12374581939799333,0.0,0.5105908584169454,0.0,0.030100334448160536,0.04793756967670011,0.0,0.0,719.3333333333359,719.3333333333359,0.0,0.0,0.0,0.0,719.3333333333359,8219.328624992713,-0.010955240746155474,-1.4478475,0.17198989
605.0,1120.9523809523816,6.240000000000002,6.792499999999998,1.8587360000000002,27211.403875943695,27323.04094284952,27103.47591596964,27197.746114268535,0.3225806451612903,0.0,0.0,0.06115702479338842,0.008264462809917356,0.0,0.0,0.009917355371900829,0.14710743801652892,0.0,0.0,0.2446280991735537,0.0,0.3008264462809917,0.0,0.03636363636363636,0.19173553719008266,0.0,0.0,927.8663003663019,936.8769841269856,9.010683760683719,0.0,0.0,0.0,1020.5476190476202,2065.925210271605,-0.02803536639256398,-1.4479103,0.17199439
2016.0,1640.4523809523807,6.240000000000002,6.792499999999998,1.8587360000000002,27211.403875943695,27323.04094284952,27103.47591596964,27197.746114268535,0.3225806451612903,0.0,0.0,0.02232142857142857,0.004464285714285714,0.0,0.0,0.07539682539682539,0.10069444444444443,0.0,0.013888888888888888,0.11557539682539685,0.0,0.5758928571428571,0.0,0.003472222222222222,0.0882936507936508,0.0,0.0,1183.8915604684464,1211.4826239964816,27.591063528035193,0.0,0.0,0.0,1449.7124542124543,231.14268730088057,3.004408529323028,-1.4478812,0.17200603
2245.0,2141.0000000000014,6.240000000000002,6.792499999999998,1.8587360000000002,27211.403875943695,27323.04094284952,27103.47591596964,27197.746114268535,0.3225806451612903,0.0,0.0,0.04855233853006682,0.00311804008908686,0.0,0.0,0.06503340757238307,0.17728285077951006,0.0,0.0378619153674833,0.12293986636971048,0.0,0.39242761692650335,0.0,0.008908685968819599,0.14387527839643652,0.0,0.0,1451.4572549250363,1504.8949336343742,53.43767870933789,0.0,0.0,0.0,1916.3315476190485,665.4671162199494,0.13536474571044688,-1.4478829,0.1720064
2415.0,2459.04761904762,6.240000000000002,6.792499999999998,1.8587360000000002,27211.403875943695,27323.04094284952,27103.47591596964,27197.746114268535,0.3225806451612903,0.0,0.0,0.0401656314699793,0.01821946169772257,0.0,0.0,0.07163561076604555,0.10351966873706003,0.0,0.0,0.09399585921325053,0.0,0.4728778467908903,0.0,0.016149068322981366,0.1834368530020704,0.0,0.0,1685.121616271194,1764.1348081417295,79.0131918705356,0.0,0.0,0.0,2279.637347500985,2553.99918437634,0.023105183991711832,-1.4478823,0.17200485
2379.0,2445.7619047619064,6.240000000000002,6.792499999999998,1.8587360000000002,27211.403875943695,27323.04094284952,27103.47591596964,27197.746114268535,0.3225806451612903,0.0,0.0,0.02059688944934846,0.015552753257671291,0.0,0.0,0.02564102564102564,0.1340899537620849,0.0,0.021437578814628,0.13829340058848255,0.0,0.4123581336696091,0.0,0.016813787305590584,0.21521647751155948,0.0,0.0,1837.4717994065772,1929.8060528887324,92.33425348215519,0.0,0.0,0.0,2390.5391810570395,3424.088580515662,-0.008840106419434671,-1.4478817,0.1720054
2249.0,2120.333333333335,6.240000000000002,6.792499999999998,1.8587360000000002,27211.403875943695,27323.04094284952,27103.47591596964,27197.746114268535,0.3225806451612903,0.0,0.0,0.04624277456647399,0.01467318808359271,0.0,0.0,0.06269453090262339,0.15073365940417965,0.0,0.04713205869275233,0.10449088483770563,0.0,0.3895064473099155,0.0,0.013783903957314363,0.1707425522454424,1806.697278911566,0.0,1887.7772569001288,1972.3215489158572,84.54429201572839,0.0,0.0,0.0,2210.3195442861515,2744.3446241640463,-0.03263544663123652,3.974275,-2.2959163
2297.0,1842.3809523809537,6.240000000000002,6.792499999999998,1.8587360000000002,27211.403875943695,27323.04094284952,27103.47591596964,27197.746114268535,0.3225806451612903,0.0,0.0,0.035698737483674366,0.01828471919895516,0.0,0.0,0.03744013931214628,0.15585546364823682,0.0,0.022202873313016982,0.13670004353504572,0.0,0.29865041358293426,0.0,0.02046147148454506,0.27470613844144537,1967.1326530612257,0.0,1880.4627873976679,1945.2049492072292,64.74216180956137,0.0,0.0,0.0,1964.9897575493626,1587.289603925854,-0.03786284651363772,-1.4478824,0.17200556
1435.0,2104.619047619049,6.240000000000002,6.792499999999998,1.8587360000000002,27211.403875943695,27323.04094284952,27103.47591596964,27197.746114268535,0.3225806451612903,0.0,0.0,0.03902439024390244,0.007665505226480836,0.0,0.0,0.05156794425087108,0.1059233449477352,0.0,0.024390243902439025,0.2731707317073171,0.0,0.1735191637630662,0.0,0.005574912891986064,0.3191637630662021,2107.6564625850356,0.0,1913.6876660507426,1976.7427318949624,63.055065844219826,0.0,0.0,0.0,2058.080680438013,1528.619211883432,0.01892061476617151,-1.4478823,0.17200549
3166.0,3461.904761904764,6.240000000000002,6.792499999999998,1.8587360000000002,27211.403875943695,27323.04094284952,27103.47591596964,27197.746114268535,0.3225806451612903,0.0,0.0,0.034112444725205304,0.004737839545167404,0.0,0.0,0.08780795957043587,0.11907770056854075,0.0,0.02337334175615919,0.2419456727732154,0.0,0.2356285533796589,0.0,0.03885028427037271,0.21446620341124448,2367.8639455782327,0.0,2127.326556964813,2258.1803593819145,130.85380241710163,0.0,0.0,0.0,2993.9792509403187,3277.346740417995,0.027240711710491607,-1.4478823,0.17200553
